"filename", "language", "JavaScript JSX", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\api.js", "JavaScript", 0, 0, 649, 0, 59, -7, 701
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\bookingRoutes.js", "JavaScript", 0, 0, 147, 0, 9, 16, 172
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\emailRoutes.js", "JavaScript", 0, 0, 58, 0, 4, 13, 75
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\hotelRoutes.js", "JavaScript", 0, 0, 139, 0, 6, 22, 167
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\payment.js", "JavaScript", 0, 0, 27, 0, 0, 6, 33
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\paymentRoutes.js", "JavaScript", 0, 0, 78, 0, 6, 11, 95
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\rental.js", "JavaScript", 0, 0, 20, 0, 0, 3, 23
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\rentalRoutes.js", "JavaScript", 0, 0, 79, 0, 4, 6, 89
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\tourGuideBookingRoutes.js", "JavaScript", 0, 0, 16, 0, 1, 3, 20
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\routes\vehicleRoutes.js", "JavaScript", 0, 0, 187, 0, 6, 19, 212
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\backend\server.js", "JavaScript", 0, 0, 17, 0, 1, 1, 19
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package-lock.json", "JSON", 0, 217, 0, 0, 0, 0, 217
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package.json", "JSON", 0, 7, 0, 0, 0, 0, 7
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\App.jsx", "JavaScript JSX", 237, 0, 0, 0, 1, 6, 244
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\ConfirmationModal.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 3, 52
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Header.jsx", "JavaScript JSX", 51, 0, 0, 0, 1, 0, 52
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\HotelItem.jsx", "JavaScript JSX", 42, 0, 0, 0, 3, 4, 49
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\MessageBox.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 2, 21
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\MessageModal.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 2, 24
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Navbar.jsx", "JavaScript JSX", 66, 0, 0, 0, 4, 5, 75
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SearchBar.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 2, 20
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarAdmin.jsx", "JavaScript JSX", 67, 0, 0, 0, 1, 0, 68
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarTourGuide.jsx", "JavaScript JSX", -218, 0, 0, 0, -3, -8, -229
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarUser.jsx", "JavaScript JSX", 20, 0, 0, 0, 2, 0, 22
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SimpleHeader.jsx", "JavaScript JSX", 52, 0, 0, 0, 1, 1, 54
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\TourGuideHeader.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 5, 40
