"filename", "language", "JavaScript JSX", "Markdown", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3798, 0, 0, 1, 3799
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\App.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\App.jsx", "JavaScript JSX", 246, 0, 0, 0, 0, 0, 0, 3, 11, 260
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\AdminHeader.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\ContactUsSmall.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 0, 0, 2, 11, 210
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Footer.jsx", "JavaScript JSX", 160, 0, 0, 0, 0, 0, 0, 12, 12, 184
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\Header.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 0, 6, 10, 109
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\HeaderUser.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarAdmin.jsx", "JavaScript JSX", 242, 0, 0, 0, 0, 0, 0, 3, 9, 254
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarTourGuide.jsx", "JavaScript JSX", 218, 0, 0, 0, 0, 0, 0, 3, 8, 229
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SidebarUser.jsx", "JavaScript JSX", 185, 0, 0, 0, 0, 0, 0, 3, 11, 199
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\components\SimpleHeader.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 0, 0, 5, 8, 90
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\index.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\main.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\AboutUs.jsx", "JavaScript JSX", 110, 0, 0, 0, 0, 0, 0, 8, 8, 126
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminDashboard.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 0, 0, 2, 5, 92
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminLogin.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 0, 4, 12, 111
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\AdminRegister.jsx", "JavaScript JSX", 137, 0, 0, 0, 0, 0, 0, 0, 10, 147
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\HotelListing.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 6, 64
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Reports.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 0, 0, 3, 7, 155
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\TourGuide.jsx", "JavaScript JSX", 176, 0, 0, 0, 0, 0, 0, 7, 9, 192
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\UIManage.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\Users.jsx", "JavaScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Admin\VehicleListing.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ContactUs.jsx", "JavaScript JSX", 352, 0, 0, 0, 0, 0, 0, 14, 20, 386
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Home.jsx", "JavaScript JSX", 183, 0, 0, 0, 0, 0, 0, 11, 11, 205
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\HotelProviderRegister.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 8, 133
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\Login.jsx", "JavaScript JSX", 120, 0, 0, 0, 0, 0, 0, 4, 8, 132
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderLogin.jsx", "JavaScript JSX", 160, 0, 0, 0, 0, 0, 0, 1, 10, 171
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\ServiceProviderRegister.jsx", "JavaScript JSX", 144, 0, 0, 0, 0, 0, 0, 0, 11, 155
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\SignIn.jsx", "JavaScript JSX", 198, 0, 0, 0, 0, 0, 0, 0, 11, 209
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuideRegister.jsx", "JavaScript JSX", 134, 0, 0, 0, 0, 0, 0, 2, 9, 145
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\TourGuides.jsx", "JavaScript JSX", 109, 0, 0, 0, 0, 0, 0, 3, 11, 123
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\VehicleProviderRegister.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 8, 133
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\hotel\HotelProviderDashboard.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideBookings.jsx", "JavaScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 5, 104
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideChat.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 0, 0, 0, 6, 117
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideCreatePackage.jsx", "JavaScript JSX", 161, 0, 0, 0, 0, 0, 0, 1, 9, 171
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideDashboard.jsx", "JavaScript JSX", 553, 0, 0, 0, 0, 0, 0, 10, 31, 594
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEarnings.jsx", "JavaScript JSX", 86, 0, 0, 0, 0, 0, 0, 0, 5, 91
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEditPackages.jsx", "JavaScript JSX", 112, 0, 0, 0, 0, 0, 0, 0, 7, 119
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideEditProfile.jsx", "JavaScript JSX", 231, 0, 0, 0, 0, 0, 0, 0, 8, 239
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideReviews.jsx", "JavaScript JSX", 123, 0, 0, 0, 0, 0, 0, 0, 7, 130
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\tourguide\TourGuideServices.jsx", "JavaScript JSX", 74, 0, 0, 0, 0, 0, 0, 0, 5, 79
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\AccountSettings.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 3, 4, 77
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\EditProfile.jsx", "JavaScript JSX", 194, 0, 0, 0, 0, 0, 0, 4, 15, 213
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\ExploreDestinations.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 1, 4, 58
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\HotelBooking.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 1, 4, 58
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\MyBooking.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\TourGuide.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 0, 0, 1, 4, 58
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\TravelPackages.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\UserDashboard.jsx", "JavaScript JSX", 212, 0, 0, 0, 0, 0, 0, 6, 20, 238
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\user\VehicleRental.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 1, 4, 64
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\src\pages\vehicle\VehicleProviderDashboard.jsx", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\Romesh\Educational\SLIIT PC\2nd Year\2nd Sem\IT Project\Project\TraviGo\TraviGo\frontend\vite.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 6615, 16, 1035, 136, 4, 8936, 26, 168, 613, 17549
